MSFT Microsoft
GOOG Google
AMZN Amazon
AAPL Apple
BAC BankofAmerica
JPM JPMorgan
WMT Walmart
TSLA Tesla
F Ford
LMT LockheedMartin
FB Facebook
NVDA Nvidia
WFC wellsFargo
TWTR Twitter
GME Gamestop
DIS Disney
AAL AmericanAirlines
PFE Pfizer
DAL DeltaAirlines
CCL Carnival
GPRO GoPro
MRNA Moderna
BABA AliBaba
SNAP Snapchat
NFLX Netflix
BA Boeing
UAL United
T A&NT
SBUX Starbucks
LUV Southwest
SIGL Signal
SPY Spdr
MRO MarathonOil
ABNB AirBNB
JBLU Jetblue
JNJ Johnson&Johnson
XON Exxon
SIRI SiriusXM
SNE Sony
ZM Zoom
PYPL Paypal
V Visa
